analysis_tier,metric,operator,horizon,estimand,mean,ci95_low,ci95_high,n_queries
h50_subset,mrr10,recursive,32,search_H3abs,-0.0019070450855054072,-0.002273902221530552,-0.0015450520474194326,1726
h50_subset,mrr10,recursive,32,representation_minus_search_H3abs,-0.0018057232549257617,-0.0022083540197007276,-0.0014041563743329756,1726
h50_subset,mrr10,recursive,40,representation_H3abs,-0.00294293437854138,-0.003257207594501756,-0.002624899134685844,1726
h50_subset,mrr10,recursive,40,search_H3abs,-0.0014968568330708662,-0.0017644938721170826,-0.001227807128006691,1726
h50_subset,mrr10,recursive,40,representation_minus_search_H3abs,-0.0014460775454705136,-0.001753886117316689,-0.0011460945432710803,1726
h50_subset,mrr10,recursive,50,representation_H3abs,-0.002271840538663691,-0.0025110265960771937,-0.002033992081973323,1726
h50_subset,mrr10,recursive,50,search_H3abs,-0.0011617529502813385,-0.0013639011673150547,-0.000958415924492921,1726
h50_subset,mrr10,recursive,50,representation_minus_search_H3abs,-0.0011100875883823527,-0.0013368980046448557,-0.0008855420089419128,1726
h50_subset,recall10,anchored,4,representation_H3abs,0.022210554268057136,0.018789831981459993,0.02563981629007336,1726
h50_subset,recall10,anchored,4,search_H3abs,-0.003145519505600645,-0.005434047894940157,-0.0008786271243723704,1726
h50_subset,recall10,anchored,4,representation_minus_search_H3abs,0.025356073773657783,0.021754206498648128,0.028919285921205098,1726
h50_subset,recall10,anchored,8,representation_H3abs,0.007062532187459788,0.00574826791232138,0.008380417551821832,1726
h50_subset,recall10,anchored,8,search_H3abs,-0.0015689374919531194,-0.002508816346401426,-0.0006328708397708105,1726
h50_subset,recall10,anchored,8,representation_minus_search_H3abs,0.008631469679412907,0.007262682865005802,0.009994613629779844,1726
h50_subset,recall10,anchored,12,representation_H3abs,0.003306863569030437,0.002577600406304789,0.004036219580197717,1726
h50_subset,recall10,anchored,12,search_H3abs,-0.0009543493393435398,-0.0014892956358049,-0.0004256354945267112,1726
h50_subset,recall10,anchored,12,representation_minus_search_H3abs,0.004261212908373976,0.0035126322957652646,0.004983111200068763,1726
h50_subset,recall10,anchored,16,representation_H3abs,0.0019079057607979543,0.0014509111358670624,0.0023608969225001777,1726
h50_subset,recall10,anchored,16,search_H3abs,-0.0006199044411120885,-0.0009646349456883878,-0.0002747738120933897,1726
h50_subset,recall10,anchored,16,representation_minus_search_H3abs,0.0025278102019100426,0.0020588710118317325,0.002994690341253343,1726
h50_subset,recall10,anchored,24,representation_H3abs,0.0008712247823632489,0.0006403450619484765,0.0011061779960335105,1726
h50_subset,recall10,anchored,24,search_H3abs,-0.00031644605876935365,-0.0004975847799120582,-0.00013580430891048343,1726
h50_subset,recall10,anchored,24,representation_minus_search_H3abs,0.0011876708411326024,0.0009461525462756634,0.0014281671067682803,1726
h50_subset,recall10,anchored,32,representation_H3abs,0.0004969113916239646,0.00035787241740818556,0.0006358481999701042,1726
h50_subset,recall10,anchored,32,search_H3abs,-0.00019045412460781075,-0.0002976669680368182,-8.253005342687876e-05,1726
h50_subset,recall10,anchored,32,representation_minus_search_H3abs,0.0006873655162317754,0.0005434883375753661,0.0008279018810364406,1726
h50_subset,recall10,anchored,40,representation_H3abs,0.00032071873700445557,0.0002290858335251145,0.00041016358365195767,1726
h50_subset,recall10,anchored,40,search_H3abs,-0.00012688111589773286,-0.00019980658294674615,-5.453403479004462e-05,1726
